Setting Name,Publication Group,Setting Mitigation (16/10/2023),Setting Mitigation (14/09/2023) [1],Setting Mitigation (30/08/2023),Setting Phase,Type of Setting,Setting Website,URN,LAESTAB,Local Authority,Parliamentary Constituency,Region
Atherton St George's CofE Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy converter,www.saintgeorges.wigan.sch.uk/,144371,3593429,Wigan,Bolton West,North West
Bushey and Oxhey Infant School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Community school,http://www.oxhey.herts.sch.uk/,117157,9192117,Hertfordshire,Watford,East of England
Camborne College (part of Cornwall College),16/10/2023,All pupils in face-to-face education,NA,NA,16 plus,Further education,http://www.cornwall.ac.uk,130627,9088000,Cornwall,Camborne & Redruth,South West
Cann Hall Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy sponsor led,https://www.cannhall.compassps.uk/,138911,8812025,Essex,Clacton,East of England
Cheddington Combined School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Community school,www.cheddingtonschool.org,110215,8252019,Buckinghamshire,Buckingham,South East
Christ Church Church of England Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy sponsor led,www.christchurchacademy.org.uk,139201,3802013,Bradford,Shipley,Yorkshire and the Humber
Churchfield CofE Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy sponsor led,www.churchfield.herts.sch.uk,143856,9192063,Hertfordshire,Broxbourne,East of England
Crossflatts Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Community school,https://www.crossflatts.bradford.sch.uk/web,107253,3802111,Bradford,Shipley,Yorkshire and the Humber
Dean Trust Rose Bridge,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy sponsor led,https://www.deantrustrosebridge.co.uk/,146797,3594012,Wigan,Wigan,North West
Dixons Broadgreen Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy sponsor led,NA,148792,3414013,Liverpool,"Liverpool, Wavertree",North West
"Ellesmere Port Catholic High School, a Voluntary Academy",16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy sponsor led,NA,149631,8964010,Cheshire West and Chester,Ellesmere Port and Neston,North West
Elm Hall Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy converter,www.elmhall.essex.sch.uk,146695,8812757,Essex,Witham,East of England
Exmouth Community College,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,http://exmouthcollege.devon.sch.uk/,136612,8784012,Devon,East Devon,South West
Golden Flatts Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Community school,www.goldenflattsprimary.co.uk/,111581,8052126,Hartlepool,Hartlepool,North East
Gordano School,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,http://www.gordanoschool.org.uk/,136856,8024135,North Somerset,North Somerset,South West
Greenway Junior School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy converter,www.greenwayacademy.co.uk,138492,9385200,West Sussex,Horsham,South East
Havant Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy sponsor led,http://www.havant-tkat.org/,136156,8506905,Hampshire,Havant,South East
Kings College Guildford,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy sponsor led,http://www.kingscollegeguildford.com/,141200,9364001,Surrey,Guildford,South East
Knuzden St Oswald's Church of England Primary Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy converter,www.st-oswaldscofe.lancs.sch.uk/,149624,8883353,Lancashire,Hyndburn,North West
Links Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Not applicable,Academy alternative provision converter,https://linksacademystalbans.co.uk/,139197,9191106,Hertfordshire,St Albans,East of England
Manningtree High School,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,http://www.manningtreehigh.com,137945,8815470,Essex,Harwich and North Essex,East of England
Newmarket Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy sponsor led,http://www.newmarketacademy.co.uk/,140669,9354041,Suffolk,West Suffolk,East of England
Peterborough College (part of Inspire Education Group),16/10/2023,All pupils in face-to-face education,NA,NA,16 plus,Further education,www.peterborough.ac.uk,130613,8748011,Peterborough,Peterborough,East of England
"Priory Primary School, Bicknacre",16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Community school,http://www.priory.essex.sch.uk,115000,8812799,Essex,Maldon,East of England
"Shelley College, A Share Academy",16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,http://home.shelleycollege.org/,137352,3824049,Kirklees,Dewsbury,Yorkshire and the Humber
Shoeburyness High School,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,https://www.shoeburyness.secat.co.uk,137733,8824034,Southend-on-Sea,Rochford and Southend East,East of England
Sir William Borlase's Grammar School,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,www.swbgs.com,136781,8254505,Buckinghamshire,Beaconsfield,South East
Southview School,16/10/2023,All pupils in face-to-face education,NA,NA,Not applicable,Academy special sponsor led,NA,144956,8817004,Essex,Witham,East of England
Spring Meadow Primary School & School House Nursery,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Community school,www.springmeadow.essex.sch.uk,114834,8812374,Essex,Harwich and North Essex,East of England
St Aloysius RC College,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Voluntary aided school,www.sta.islington.sch.uk,100459,2064651,Islington,Islington North,London
St Anne's Catholic Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy sponsor led,www.st-annes.hants.sch.uk,147519,8502052,Hampshire,Basingstoke,South East
"St Bernard's RC Primary School, Bolton",16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Voluntary aided school,www.st-bernards.bolton.sch.uk,105230,3503337,Bolton,Bolton West,North West
St Edward's Catholic Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy sponsor led,www.stedwardsswadlincote.srscmat.co.uk,143513,8302024,Derbyshire,South Derbyshire,East Midlands
St Mary Magdalene CofE Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Voluntary aided school,http://www.st-marymagdalene.westminster.sch.uk/,101135,2133511,Westminster,Westminster North,London
St Mary's Priory RC Infant School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Voluntary aided school,https://www.stmaryspriory.co.uk/,102147,3093505,Haringey,Tottenham,London
"St Stephen and All Martyrs' CofE School, Lever Bridge",16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Voluntary aided school,http://www.ssam.bolton.sch.uk,105217,3503306,Bolton,Bolton South East,North West
Stowupland High School,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,http://stowuplandhighschool.co.uk/,143362,9354103,Suffolk,Bury St Edmunds,East of England
Thameside Primary School,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy sponsor led,www.thamesideprimaryschool.com,138581,8832001,Thurrock,Thurrock,East of England
The Grove Primary Academy,16/10/2023,All pupils in face-to-face education,NA,NA,Primary,Academy converter,http://www.grove.kite.academy,142380,9362955,Surrey,Surrey Heath,South East
The Magna Carta School,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,http://www.magnacarta.surrey.sch.uk,137116,9364160,Surrey,Runnymede and Weybridge,South East
Watford Grammar School for Boys,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Academy converter,http://www.watfordboys.org,136276,9195401,Hertfordshire,Watford,East of England
Westside School,16/10/2023,All pupils in face-to-face education,NA,NA,Not applicable,Free schools alternative provision,www.westsideschool.org.uk,140201,2056394,Hammersmith and Fulham,Hammersmith,London
Winchmore School,16/10/2023,All pupils in face-to-face education,NA,NA,Secondary,Community school,http://www.winchmore.enfield.sch.uk/,102045,3084026,Enfield,"Enfield, Southgate",London
Ark John Keats Academy,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,All-through,Free schools,www.arkjohnkeats.org,139815,3084001,Enfield,Enfield North,London
Avenue Centre for Education,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Not applicable,Pupil referral unit,www.avenuecentre.co.uk,134525,8211102,Luton,Luton South,East of England
Baildon Church of England Primary School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Academy converter,www.baildonce.co.uk,149161,3803360,Bradford,Shipley,Yorkshire and the Humber
Baskerville School,14/09/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,NA,Not applicable,Foundation special school,www.baskerville.school,103606,3307016,Birmingham,"Birmingham, Edgbaston",West Midlands
Buttsbury Junior School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Academy converter,http://www.buttsbury-jun.essex.sch.uk,136734,8815238,Essex,Basildon and Billericay,East of England
Colyton Grammar School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Secondary,Academy converter,http://www.colytongrammar.com,136366,8785400,Devon,Tiverton and Honiton,South West
Eldwick Primary School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Community school,www.eldwick.bradford.sch.uk,107255,3802113,Bradford,Shipley,Yorkshire and the Humber
Farlingaye High School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Secondary,Academy converter,http://www.farlingaye.suffolk.sch.uk/,136834,9354076,Suffolk,Suffolk Coastal,East of England
Farnborough College of Technology,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,16 plus,Further education,NA,130689,8508002,Hampshire,Aldershot,South East
Grantham College,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,16 plus,Further education,NA,130759,9258000,Lincolnshire,Grantham and Stamford,East Midlands
Kingsbury High School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Secondary,Academy converter,http://www.kingsburyhigh.org.uk/,137685,3045402,Brent,Brent North,London
Marling School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Secondary,Academy converter,http://www.marling.gloucs.sch.uk/,137123,9165401,Gloucestershire,Stroud,South West
Marple Sixth Form College (part of Trafford College Group),14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,16 plus,Further education,www.trafford.ac.uk,130519,3588000,Stockport,Hazel Grove,North West
Maryvale Catholic Primary School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Voluntary aided school,www.maryvaleprimary.org.uk/,103426,3303322,Birmingham,"Birmingham, Perry Barr",West Midlands
Merrylands Primary School,14/09/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,NA,Primary,Academy converter,www.merrylandsprimaryschool.co.uk/,143205,8813252,Essex,Basildon and Billericay,East of England
Mulberry Stepney Green Mathematics and Computing College,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Secondary,Academy converter,https://www.mulberrystepneygreen.org/,144700,2114276,Tower Hamlets,Bethnal Green and Bow,London
Myton School,14/09/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,NA,Secondary,Academy converter,http://www.mytonschool.co.uk,136907,9375403,Warwickshire,Warwick and Leamington,West Midlands
Ortu Corringham Primary School and Nursery,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Academy sponsor led,www.ortucorringhamprimary.org,140013,8832006,Thurrock,South Basildon and East Thurrock,East of England
Ravens Academy,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Academy sponsor led,www.ravensacademy.attrust.org.uk/,139641,8812067,Essex,Clacton,East of England
Selworthy Special School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Not applicable,Academy special converter,NA,146698,9337014,Somerset,Taunton Deane,South West
St Joseph's Catholic Voluntary Academy,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Academy converter,http://www.stjosephs.leics.sch.uk,138080,8553347,Leicestershire,Harborough,East Midlands
Steeple Bumpstead Primary School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Academy sponsor led,https://www.steepleprimary.co.uk,145725,8812172,Essex,Braintree,East of England
Stepney All Saints Church of England Secondary School,14/09/2023,Mix of face-to-face and remote arrangements,Fully remote learning,NA,Secondary,Voluntary aided school,www.stepneyallsaints.school,100977,2114722,Tower Hamlets,Bethnal Green and Bow,London
Surrey Street Primary School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Primary,Community school,www.surreystreetprimary.com,109571,8212263,Luton,Luton South,East of England
The Link School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Not applicable,Academy special converter,http://www.thelinkschool.co.uk/,144851,3197006,Sutton,Carshalton and Wallington,London
The Macclesfield Academy,14/09/2023,All pupils in face-to-face education,New case - triage in progress,NA,Secondary,Academy sponsor led,http://www.macclesfieldacademy.org/,137064,8954001,Cheshire East,Macclesfield,North West
Westlands School,14/09/2023,All pupils in face-to-face education,All pupils in face-to-face education,NA,Secondary,Academy converter,http://www.westlands.org.uk/,136286,8865434,Kent,Sittingbourne and Sheppey,South East
Abbey Lane Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.abbeylaneprimaryschool.com,106982,3732001,Sheffield,"Sheffield, Heeley",Yorkshire and the Humber
All Saints C of E Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary aided school,www.allsaintsnh-pri.manchester.sch.uk,105505,3523301,Manchester,Manchester Central,North West
Altrincham College,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.altrinchamcollege.com/,138614,3584024,Trafford,Altrincham and Sale West,North West
Anglo European School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://aesessex.co.uk/,137727,8815442,Essex,Brentwood and Ongar,East of England
Ark Boulton Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Secondary,Academy sponsor led,http://arkboulton.org/,140014,3304013,Birmingham,"Birmingham, Yardley",West Midlands
Arthur Bugler Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Academy converter,www.arthurbugler.com,143378,8832439,Thurrock,South Basildon and East Thurrock,East of England
Aston Manor Academy,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.astonmanor.bham.sch.uk/,136882,3304220,Birmingham,"Birmingham, Ladywood",West Midlands
Barnes Farm Junior School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.barnesfarmjuniors.co.uk,145998,8812839,Essex,Chelmsford,East of England
Batley Girls High School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.batleygirls.co.uk/,137424,3824048,Kirklees,Batley and Spen,Yorkshire and the Humber
Baynards Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.baynards.essex.sch.uk,114767,8812088,Essex,Witham,East of England
Beehive Lane Community Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.beehivelane.essex.sch.uk/,114996,8812789,Essex,Chelmsford,East of England
Bentfield Primary School and Nursery,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.bentfieldprimaryschool.co.uk,114978,8812747,Essex,Saffron Walden,East of England
Birchington Church of England Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary controlled school,www.birchington-primary.com/,118693,8863178,Kent,North Thanet,South East
Bishop Douglass School Finchley,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.bishopdouglass.barnet.sch.uk/,143082,3025408,Barnet,Finchley and Golders Green,London
Bispham Endowed Church of England Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary controlled school,http://www.bisphamendowed.co.uk,119411,8903192,Blackpool,Blackpool North and Cleveleys,North West
Brandhall Primary School,30/08/2023,RAAC not present,RAAC not present,All pupils in face-to-face education,Primary,Community school,www.brandhall.sandwell.sch.uk/,103976,3332171,Sandwell,Warley,West Midlands
Broomfield Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Foundation school,http://www.broomfield.essex.sch.uk,115292,8815252,Essex,Saffron Walden,East of England
Buckhurst Hill Community Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Academy converter,www.bhcps.efspt.org,147561,8812973,Essex,Epping Forest,East of England
Canon Slade School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.canon-slade.bolton.sch.uk,144044,3505401,Bolton,Bolton North East,North West
Carmel College,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://carmel.bhcet.org.uk/,137622,8414603,Darlington,Darlington,North East
Cherry Tree Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Academy sponsor led,https://www.cherrytree.essex.sch.uk/,142002,8812132,Essex,Harwich and North Essex,East of England
Chipping Ongar Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.chippingongar.essex.sch.uk/,146195,8812685,Essex,Brentwood and Ongar,East of England
Clacton County High School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.countyhigh.org.uk/,138084,8815444,Essex,Clacton,East of England
Claydon High School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,www.claydonhigh.co.uk,144214,9354096,Suffolk,Central Suffolk and North Ipswich,East of England
Cleeve Park School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,www.cleevepark-tkat.org,138686,3034030,Bexley,Old Bexley and Sidcup,London
Cockermouth School,30/08/2023,RAAC not present,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.cockermouthschool.org/,142306,9424103,Cumberland,Workington,North West
Corpus Christi Catholic Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.corpuschristischool.co.uk,137295,2085202,Lambeth,Streatham,London
Cranbourne,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Community school,http://www.cranbourne.hants.sch.uk/,116432,8504164,Hampshire,Basingstoke,South East
Danetree Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.danetreeschool.org/,138764,9362092,Surrey,Epsom and Ewell,South East
Denbigh School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.denbigh.net,136468,8265410,Milton Keynes,Milton Keynes South,South East
Donnington Wood Infant School and Nursery Centre,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.donningtonwoodinfants.co.uk,123364,8942041,Telford and Wrekin,The Wrekin,West Midlands
East Bergholt High School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,http://www.ebhigh.org.uk,137218,9354097,Suffolk,South Suffolk,East of England
East Tilbury Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.easttilburyprimary.thurrock.sch.uk/,138065,8832824,Thurrock,South Basildon and East Thurrock,East of England
Elmstead Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.elmsteadprimary.com,149972,8815220,Essex,Harwich and North Essex,East of England
Eversley Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.eversley.essex.sch.uk/,114999,8812798,Essex,South Basildon and East Thurrock,East of England
Ferryhill School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,www.ferryhill.school,145253,8404150,County Durham,Sedgefield,North East
Godinton Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,http://www.godinton.kent.sch.uk,141754,8862625,Kent,Ashford,South East
Great Leighs Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.greatleighs.essex.sch.uk,114852,8812450,Essex,Saffron Walden,East of England
Great Tey Church of England Voluntary Controlled Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary controlled school,www.greatteyprimary.org.uk/,115079,8813025,Essex,Harwich and North Essex,East of England
Hadleigh High School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,http://www.hadleighhigh.net/,136918,9354017,Suffolk,South Suffolk,East of England
Harlowbury Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.harlowbury.essex.sch.uk/,144664,8812983,Essex,Harlow,East of England
Harwich and Dovercourt High School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy sponsor led,www.hdhs.org.uk,145061,8814024,Essex,Harwich and North Essex,East of England
Hatfield Heath Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.hatfieldheath.essex.sch.uk/,141714,8812520,Essex,Saffron Walden,East of England
Hatfield Peverel St Andrew's Junior School,30/08/2023,Mix of face-to-face and remote arrangements,All pupils in face-to-face education,Start of Term Delayed,Primary,Foundation school,www.hatfieldpeverelstandrews.co.uk,115102,8815279,Essex,Witham,East of England
Henham and Ugley Primary and Nursery School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.henhamugley.essex.sch.uk,114975,8812740,Essex,Saffron Walden,East of England
Hillhouse CofE Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.hillhouse.essex.sch.uk/,145992,8813256,Essex,Epping Forest,East of England
