Setting Name,Publication Group,Setting Mitigation (16/10/2023),Setting Mitigation (14/09/2023) [1],Setting Mitigation (30/08/2023),Setting Phase,Type of Setting,Setting Website,URN,LAESTAB,Local Authority,Parliamentary Constituency,Region
Hockley Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.hockleyprimary.org,146181,8815247,Essex,Rayleigh and Wickford,East of England
Holcombe Grammar School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.holcombegrammar.org.uk,136594,8874068,Medway,Chatham and Aylesford,South East
Holy Trinity Catholic Voluntary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.holytrinityacademy.co.uk,140727,8913766,Nottinghamshire,Newark,East Midlands
"Holy Trinity CofE Primary School, Eight Ash Green and Aldham",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary controlled school,www.holytrinityeightashgreen.co.uk/,115075,8813021,Essex,Harwich and North Essex,East of England
Hornsey School for Girls,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Secondary,Community school,http://www.hsg.haringey.sch.uk/,102153,3094029,Haringey,Hornsey and Wood Green,London
Hounsdown School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.hounsdown.hants.sch.uk/,137229,8504168,Hampshire,New Forest East,South East
Jerounds Primary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,http://www.netacademies.net/jerounds,145557,8812171,Essex,Harlow,East of England
"Joyce Frankland Academy, Newport",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.jfan.org.uk/,138734,8815436,Essex,Saffron Walden,East of England
Katherine Semar Infant School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.katherinesemar.co.uk,141574,8812717,Essex,Saffron Walden,East of England
Katherine Semar Junior School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.katherinesemar.co.uk,141572,8812687,Essex,Saffron Walden,East of England
Katherines Primary Academy and Nursery,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.katherines.netacademies.net,144823,8812162,Essex,Harlow,East of England
King Ethelbert School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.kingethelbert.com/,136584,8864120,Kent,North Thanet,South East
Kingsdown School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Not applicable,Academy special converter,www.kingsdownschool.org,144692,8827001,Southend-on-Sea,Southend West,East of England
Lambourne Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.lambourne.efspt.org,145604,8812690,Essex,Brentwood and Ongar,East of England
Langney Primary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.langneyprimary.co.uk,146231,8452130,East Sussex,Eastbourne,South East
Lubbins Park Primary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,https://www.lubbinspark.essex.sch.uk/,143123,8812143,Essex,Castle Point,East of England
Markyate Village School and Nursery,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.markyate.herts.sch.uk/,117127,9192074,Hertfordshire,Hemel Hempstead,East of England
Mayflower Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,https://www.mayflower.leicester.sch.uk/,120018,8562250,Leicester,Leicester South,East Midlands
Mersea Island School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Foundation school,www.merseaschool.org,115311,8815271,Essex,Harwich and North Essex,East of England
Mistley Norman Church of England Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.mistleynormancofe.co.uk,141658,8812123,Essex,Harwich and North Essex,East of England
Myatt Garden Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.myattgarden.lewisham.sch.uk/,100713,2092869,Lewisham,"Lewisham, Deptford",London
Northampton International Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,All-through,Free schools,NA,142485,9414018,West Northamptonshire,Northampton South,East Midlands
Our Lady's Catholic High School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Secondary,Voluntary aided school,http://www.olchs.lancs.sch.uk/,119779,8884606,Lancashire,Wyre and Preston North,North West
Outwoods Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Community school,www.ops.warwickshire.sch.uk,136061,9372083,Warwickshire,North Warwickshire,West Midlands
Palmarsh Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.palmarsh.kent.sch.uk,118490,8862524,Kent,Folkestone and Hythe,South East
Park View School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Community school,www.parkview.haringey.sch.uk,131757,3094037,Haringey,Tottenham,London
Parks Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.parksprimary.org/,120088,8562364,Leicester,Leicester West,East Midlands
Petroc,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,16 plus,Further education,http://www.petroc.ac.uk/,130646,8788001,Devon,North Devon,South West
Pippins School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Foundation school,www.pippins.slough.sch.uk/,110095,8715207,Slough,Windsor,South East
Prince Albert Junior and Infant School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.princealbert.bham.sch.uk,142230,3302003,Birmingham,"Birmingham, Ladywood",West Midlands
Redhill School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.redhill.dudley.sch.uk/,139872,3324119,Dudley,Stourbridge,West Midlands
Roding Valley High School,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,www.rodingvalley.net,145597,8814499,Essex,Epping Forest,East of England
Royal College Manchester (Seashell Trust),30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Not applicable,Special post 16 institution,http://www.seashelltrust.org.uk/,139218,3567900,Stockport,Cheadle,North West
Sale Grammar School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.salegrammar.co.uk/,136498,3584029,Trafford,Wythenshawe and Sale East,North West
Sandbach School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Free schools,http://sandbachschool.org/,137491,8956010,Cheshire East,Congleton,North West
Scalby School,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,https://www.scalby.coastandvale.academy/,143288,8154073,North Yorkshire,Scarborough and Whitby,Yorkshire and the Humber
Seven Mills Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.sevenmills.towerhamlets.sch.uk/,100931,2112857,Tower Hamlets,Poplar and Limehouse,London
Shawfield Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.shawfield.surrey.sch.uk,125029,9362361,Surrey,Surrey Heath,South East
Sir Thomas Boughey Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,www.stb.academy,145047,8604060,Staffordshire,Newcastle-under-Lyme,West Midlands
Springfield Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.springfield-pri.essex.sch.uk,134065,8812020,Essex,Chelmsford,East of England
"St Andrew's CofE Primary School, Over Hulton",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary aided school,www.standrewsbolton.co.uk,105236,3503348,Bolton,Bolton South East,North West
"St Anne's Catholic Primary School, Harlow Green",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Fully remote learning,Primary,Academy converter,www.stannesprimary.org,147135,3903322,Gateshead,Gateshead,North East
"St Bartholomew's Catholic Primary School, Swanley",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary aided school,http://www.st-bartholomewsrc-pri.kent.sch.uk/,118860,8865214,Kent,Sevenoaks,South East
St Bede's Catholic School and Byron Sixth Form College,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.st-bedes.durham.sch.uk/,148304,8404693,County Durham,Easington,North East
"St Benet's Catholic Primary School, Ouston",30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Fully remote learning,Primary,Academy converter,www.st-benets.durham.sch.uk,148205,8403346,County Durham,North Durham,North East
St Clere's School,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.st-cleres.thurrock.sch.uk/,137456,8835440,Thurrock,South Basildon and East Thurrock,East of England
"St Columba's Catholic Primary School, Wallsend",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.stcolumbasprimary.co.uk,148816,3923320,North Tyneside,North Tyneside,North East
St Elizabeth's Catholic Voluntary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.stelizabethsbelper.srscmat.co.uk,146119,8303513,Derbyshire,Mid Derbyshire,East Midlands
St Francis' Catholic Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Academy converter,www.st-francis.newham.sch.uk,147336,3163510,Newham,West Ham,London
"St Francis Catholic Primary School, South Ascot",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.stfrancisprimary.org,141818,8683335,Windsor and Maidenhead,Windsor,South East
St Gregory's Catholic Science College,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Fully remote learning,Secondary,Academy converter,www.stgregorys.harrow.sch.uk,142560,3045406,Brent,Brent North,London
St Helena School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,www.st-helena.essex.sch.uk,137944,8815448,Essex,Colchester,East of England
St Ignatius College,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Voluntary aided school,http://www.st-ignatius.enfield.sch.uk,102058,3085403,Enfield,Enfield North,London
"St James' Catholic Primary School, Hebburn",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Primary,Academy converter,www.stjameshebburn.co.uk,148778,3933313,South Tyneside,Jarrow,North East
St James' Church of England Voluntary Aided Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary aided school,https://st-james.kent.sch.uk,118725,8863322,Kent,Tunbridge Wells,South East
"St John Bosco Catholic Primary School, Town End Farm, Sunderland",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Primary,Academy converter,www.stjohnboscosunderland.org.uk,148782,3943316,Sunderland,Washington and Sunderland West,North East
St John Catholic Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,http://www.stjohns705.herts.sch.uk,146859,9193398,Hertfordshire,South West Hertfordshire,East of England
"St John Vianney Catholic Primary School, West Denton",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.stjohnvianneynewcastle.org,148977,3913477,Newcastle upon Tyne,Newcastle upon Tyne North,North East
St John Vianney RC Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary aided school,www.st-johnvianney.haringey.sch.uk,102152,3093510,Haringey,Tottenham,London
St Joseph's Catholic Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.stjosephschalfont.school,148671,8253371,Buckinghamshire,Chesham and Amersham,South East
"St Lawrence Church of England Primary School, Rowhedge",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary controlled school,http://www.st-lawrence-pri.essex.sch.uk/,115077,8813023,Essex,Harwich and North Essex,East of England
"St Leonard's Catholic School, Durham",30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Fully remote learning,Secondary,Academy converter,http://www.st-leonards.durham.sch.uk/,143583,8404691,County Durham,City of Durham,North East
St Mary and St John Junior and Infant School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.stmryjon.net,146268,3302187,Birmingham,"Birmingham, Erdington",West Midlands
St Michael's Catholic School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,All-through,Academy converter,www.stmichaels.bucks.sch.uk,149612,8254701,Buckinghamshire,Wycombe,South East
"St Paul's Catholic Primary School, Thames Ditton",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary aided school,www.stpauls-thamesditton.surrey.sch.uk/,125212,9363446,Surrey,Esher and Walton,South East
St Teresa's Catholic Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Academy converter,www.stteresasprimary.org.uk/,146256,8413309,Darlington,Darlington,North East
St Thomas More Catholic Comprehensive School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.stmcomprehensive.org/,141716,2034716,Greenwich,Eltham,London
"St Thomas More Catholic School, Blaydon",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.stthomasmore.org.uk/,137851,3904606,Gateshead,Blaydon,North East
St William of York Catholic Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Voluntary aided school,www.st-williams.bolton.sch.uk,105226,3503331,Bolton,Bolton South East,North West
Stanway Fiveways Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.stanwayfiveways.essex.sch.uk,114764,8812081,Essex,Witham,East of England
Sunny Bank Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.sunnybank.kent.sch.uk,147729,8862126,Kent,Sittingbourne and Sheppey,South East
Tendring Technology College,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://tendringtechnologycollege.org/,137188,8815432,Essex,Clacton,East of England
The Appleton School,30/08/2023,RAAC not present,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.theappletonschool.org,136579,8815418,Essex,Castle Point,East of England
The Billericay School,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.billericayschool.com,136861,8815468,Essex,Basildon and Billericay,East of England
The Bromfords School,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.bromfords.essex.sch.uk/,139181,8815407,Essex,Rayleigh and Wickford,East of England
The Coopers' Company and Coborn School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.cooperscoborn.org.uk/,136600,3115402,Havering,Hornchurch and Upminster,London
The Ellen Wilkinson School for Girls,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Foundation school,http://www.ellenwilkinson.ealing.sch.uk,101941,3075402,Ealing,Ealing Central and Acton,London
The FitzWimarc School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.fitzwimarc.com,141841,8815422,Essex,Rayleigh and Wickford,East of England
The Gilberd School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,www.gilberd.com,137926,8815441,Essex,Colchester,East of England
"The Holy Family Catholic School, a Voluntary Academy",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Secondary,Academy sponsor led,www.holyfamilyschool.uk,149299,3804094,Bradford,Keighley,Yorkshire and the Humber
The Honywood Community Science School,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.honywoodschool.com,136729,8814400,Essex,Witham,East of England
The London Oratory School,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.london-oratory.org,137157,2055400,Hammersmith and Fulham,Chelsea and Fulham,London
The Palmer Catholic Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,www.tpc.academy,137088,3174800,Redbridge,Ilford South,London
"The Ramsey Academy, Halstead",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy sponsor led,http://www.ramseyacademy.com/,139248,8814008,Essex,Braintree,East of England
The Thomas Lord Audley School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.tla.essex.sch.uk,137937,8814020,Essex,Colchester,East of England
Thomas Bullock Church of England Primary and Nursery Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.thomasbullock.dneat.org/,141192,9262068,Norfolk,Mid Norfolk,East of England
Thurstable School Sports College and Sixth Form Centre,30/08/2023,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Secondary,Academy converter,http://www.thurstable.co.uk,137241,8815413,Essex,Witham,East of England
Thurston Community College,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Community school,http://www.thurstoncollege.org/,124802,9354024,Suffolk,Bury St Edmunds,East of England
Waddesdon Church of England School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Secondary,Academy converter,www.waddesdonschool.com,137355,8255408,Buckinghamshire,Buckingham,South East
Wallingford School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.wallingfordschool.com/,137357,9314140,Oxfordshire,Wantage,South East
Water Lane Primary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Academy sponsor led,www.waterlaneprimary.co.uk/,141194,8812110,Essex,Harlow,East of England
Welbourne Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.welbourne.haringey.sch.uk/,102124,3092062,Haringey,Tottenham,London
Wells Park School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Not applicable,Academy special converter,www.beckmeadtrust.org,148708,8817022,Essex,Epping Forest,East of England
White Court School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.whitecourtschool.co.uk,114988,8812767,Essex,Braintree,East of England
White Hall Academy and Nursery,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,http://www.whitehallacademy.co.uk/,138575,8812022,Essex,Clacton,East of England
Widford School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.widford.herts.sch.uk,117176,9192145,Hertfordshire,Hertford and Stortford,East of England
Winter Gardens Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.wintergardensacademy.org,142000,8812129,Essex,Castle Point,East of England
Wood Green Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Secondary,Academy converter,www.woodgreenacademy.co.uk,136616,3334024,Sandwell,West Bromwich West,West Midlands
Woodkirk Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.woodkirkacademy.co.uk/,137383,3834105,Leeds,Morley and Outwood,Yorkshire and the Humber
Woodville Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Primary,Academy converter,www.woodvilleprimaryschool.org.uk/,140447,8815213,Essex,Maldon,East of England
Wyburns Primary School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Mix of face-to-face and remote arrangements,Primary,Academy converter,http://www.wyburns.org,145349,8815262,Essex,Rayleigh and Wickford,East of England
